Cust_ID,SSN,Age,Annual_Income,Monthly_Income,Amount_Invested_Monthly,Card_Transactions_Per_Month,Average_Transaction_Amount,Rent_Expenditure,Utilities_Expenditure,Education_Expenditure,Healthcare_Expenditure,Luxury_Expenditure,Travel_Expenditure,Savings_to_Income_Ratio,Missed_Payment_Utilities,Missed_Payment_Insurance,Employment_Stability,Debt_to_Income_Ratio,Savings_Account_Balance,Dependents,Aspirational_Spending_Ratio,Emergency_Fund_Ratio,Overdraft_Fees,Pre_Cursor_Credit_Score
CUST_11,158-51-3047,25,36857.38,3071.4483333333333,0,209,52.14259570612503,398.81,223.83378839107544,32303.22,7231.03,8740.11,492.24284919763613,0.397,10,2,6,0.714,12494.52464211324,2,0.25,0.995,83.4732191854825,675.0133904072587
CUST_12,575-69-1189,43,40596.29,3383.0241666666666,0,190,65.8093316632902,1065.08,292.24423906845374,4110.06,1822.77,20135.98,1017.3210935355808,0.757,7,2,16,0.308,12838.277766108793,4,0.5,1.697,101.49603936436247,683.0419803178187
CUST_13,786-71-5658,39,41099.5,3424.9583333333335,0,139,5.0,1261.21,134.03522163052193,30613.73,10826.67,15706.9,403.1308360537286,0.369,8,4,14,0.744,10204.535063336381,4,0.392,0.55,1.689459919127645,667.4052700404362
CUST_14,975-64-2267,22,23808.75,1984.0625,0,130,71.38827529463443,1785.65625,214.1522636879401,50000.0,11397.81,78786.58202676052,0.0,0.799,2,0,5,1.1409100052409136,0.0,5,0.5,0.522,500.0,683.8586664158078
CUST_15,931-12-4556,27,32474.19,2706.1825,1000,196,71.53588983931303,1297.28,173.61878691027138,16832.81,5487.39,11004.11,809.1656534834508,0.809,1,7,3,0.453,8006.371840324876,2,0.364,1.135,52.16111450211322,736.6694427489435
CUST_16,918-16-6393,19,67144.56,5595.38,2000,236,22.3348102895384,1467.9,245.98169207067443,6033.01,484.69,11075.58,179.26650054485916,0.405,9,8,1,0.678,11264.724303784995,0,0.168,1.292,49.54795818306226,686.5160209084689
CUST_17,487-98-9433,41,48359.73,4029.9775000000004,0,171,78.15991050889627,986.95,118.28954417979021,9879.5,11593.6,4630.79,52.27682517788501,0.639,6,9,5,1.016,6572.207696890206,2,0.097,1.243,59.894424395457314,687.1627878022714
CUST_18,876-62-8041,38,88380.33,7365.0275,500,121,85.80817947034018,1016.88,211.65911425585838,19637.98,3453.09,34183.38,957.8324990227119,0.722,6,3,3,0.581,21503.452464751426,4,0.398,3.507,40.73389685132365,732.0730515743383
CUST_19,439-69-1775,70,44229.92,3685.8266666666664,0,143,23.327072867956012,3317.2439999999997,224.11881802944382,20000.0,8488.51,60273.5698882936,722.992047455466,0.704,2,0,4,1.979102157908775,0.0,2,0.5,1.683,500.0,802.7761757553419
CUST_20,134-87-4152,25,58327.02,4860.585,0,195,52.15287334272389,708.68,261.14792483986446,4640.4,6806.16,25040.55,390.4271046126519,0.741,4,1,2,0.351,3868.869097699338,3,0.436,2.343,53.248588204388405,757.6857058978057
CUST_21,661-13-4073,43,31914.12,2659.5099999999998,100,184,53.96377188568798,704.75,178.86089143372925,8540.03,3232.06,6070.22,846.4256799127386,0.857,9,11,8,0.049,5248.395744038825,4,0.217,1.977,11.233121784150763,641.0734391079245
CUST_22,489-63-4843,29,47796.37,3983.0308333333337,0,270,14.0472038552649,1054.64,339.51156998905674,19962.91,8161.05,18087.18,792.5739845012453,0.259,7,6,0,0.795,6826.853845339385,3,0.395,0.497,-64.6977124479295,675.7388562239648
CUST_23,921-72-7873,37,51756.42,4313.035,0,278,43.39920433973424,534.45,170.68129180309168,37408.0,6966.72,6717.89,295.25578226037004,0.254,2,0,4,0.346,20892.729354128176,2,0.136,0.852,-14.277114991754193,821.2785574958771
CUST_24,655-43-5297,30,7918.31,659.8591666666667,0,291,78.08206870410204,875.49,143.08928579269886,1592.37,6083.37,2584.28,557.1693871874263,0.972,7,2,8,0.945,4556.203279795682,3,0.397,0.42,65.4770856111075,700.5614571944462
CUST_25,369-57-8629,39,33500.75,2791.7291666666665,0,233,32.800511688913446,1184.34,230.28960485267223,19580.33,10974.15,3559.99,467.9397287268039,0.859,2,11,12,0.185,14232.181029763377,2,0.12,1.03,52.1442347417464,729.4778826291268
CUST_26,826-71-7439,23,62718.61,5226.550833333334,0,261,86.57324256058811,238.8,193.62239376134332,455.89,3727.66,684.71,300.5016637532741,0.443,3,6,1,0.218,9303.100281993036,0,0.016,3.116,50.22750590310005,819.75624704845
CUST_27,824-89-8916,40,61653.35,5137.779166666666,0,73,57.37096211502596,1792.88,292.0676963029998,3802.65,5423.35,25111.54,513.2269019904692,0.058,2,3,5,0.417,8710.78379217926,0,0.416,0.117,61.18094854597762,743.0495257270112
CUST_28,437-62-5887,42,25032.49,2086.0408333333335,0,133,34.17248615971974,1912.6,120.50833053686101,407.84,8183.3,10715.94,730.4582546564259,0.862,4,11,2,0.446,13944.625665204085,0,0.457,0.662,53.47181841803659,687.9040907909817
CUST_29,316-69-9571,36,42780.76,3565.0633333333335,500,79,50.90243934767055,1613.18,201.78433494587645,7719.56,6136.88,18835.82,219.6499651456412,0.764,11,9,17,0.936,10932.701709519413,2,0.445,1.171,138.71448086719553,591.7627595664022
CUST_30,592-50-6276,51,2607.72,217.30999999999997,0,247,20.730806836388798,1356.75,240.90579550428558,7499.63,964.7,47.33,746.8823945731458,1.0,7,3,16,0.628,9327.36253882136,3,0.305,0.13,0.8639542024268365,743.6680228987866
CUST_31,114-54-1064,37,49931.26,4160.9383333333335,0,84,58.564698960327036,1330.42,166.66951633889863,6980.56,2054.83,18996.89,0.0,0.063,4,0,18,0.556,1403.5414954450364,5,0.38,0.157,77.04299713228524,675.7685014338573
CUST_32,956-80-3568,22,75206.0,6267.166666666667,0,19,46.15478375548327,5640.450000000001,130.3804689941248,50000.0,183.67,87399.5560640126,565.9159545375603,0.077,6,7,14,1.58613095363945,0.0,2,0.5,0.31,500.0,579.2153316803702
CUST_33,443-10-3027,36,76072.44,6339.37,1000,277,41.47582199481858,1234.45,272.4078486742727,2454.66,1198.11,11855.82,279.06810106007896,0.542,3,3,11,0.719,9953.475437899904,4,0.16,2.139,66.82531631617135,752.4673418419143
CUST_34,747-97-6258,43,75361.38,6280.115000000001,0,97,21.077945439628827,1272.8,158.02887038144831,8646.9,9656.47,17726.93,973.3201906035426,0.863,11,11,10,0.299,12949.99369820152,4,0.248,2.424,57.21088339862155,608.2245583006893
CUST_35,598-90-1391,20,60539.36,5044.946666666667,1000,59,48.38148878082808,535.56,252.19188447918532,9827.99,28.99,12347.46,16.46871929667444,0.585,9,8,1,0.22,9839.405696109143,3,0.204,3.735,140.4926283472793,635.3036858263604
CUST_36,774-44-6892,35,73164.09,6097.0075,0,152,54.102586014708066,1246.46,153.79343870627238,36089.0,3278.21,16099.84,428.166562292038,0.354,1,11,7,0.137,6614.326123572562,3,0.226,1.29,104.62890078268084,652.5855496086596
CUST_37,589-50-4099,24,46214.74,3851.228333333333,2000,68,22.59325071999389,1399.46,184.05521335040453,809.43,3318.07,19565.11,250.27537809565365,0.049,5,4,2,0.298,8521.243813774878,0,0.429,0.101,54.06553550713098,698.5372322464345
CUST_38,234-82-4104,36,39562.59,3296.8824999999997,0,220,71.62254948239901,1335.32,237.86070897065906,13536.59,10388.07,8265.99,329.73112205244627,0.236,11,5,0,0.895,20765.31335201453,2,0.217,0.319,-12.581115607888481,652.7705578039441
CUST_39,147-32-9996,39,72812.3,6067.691666666667,0,81,55.55833591837966,1659.23,217.69575931994092,8568.56,3924.08,11007.9,158.6348041957266,0.883,4,5,19,0.572,0.0,4,0.153,2.431,37.68963825699949,776.6251808715003
CUST_40,198-53-9154,43,55769.19,4647.4325,100,253,33.0337420737863,1787.73,153.426824355839,1656.7,10361.42,3635.68,551.7318146093205,0.493,7,8,5,0.399,8428.082690620316,3,0.075,0.817,92.45203369006154,637.2639831549692
CUST_41,646-74-9110,40,14095.25,1174.6041666666667,100,248,48.091491848166406,989.86,226.5292571085722,9883.87,5030.96,4756.01,568.1605491145145,0.861,7,2,8,0.558,16242.332663067453,2,0.378,0.618,71.12964391184201,718.045178044079
CUST_42,561-12-4840,32,74331.56,6194.296666666666,100,199,66.7385687042669,746.33,91.3844096964001,31325.05,969.76,3129.5,0.0,0.472,0,11,0,0.365,9182.153856233943,1,0.042,3.183,43.68374520715168,781.218127396424
CUST_43,104-23-7938,27,45602.99,3800.2491666666665,0,59,77.39282010765739,1702.33,139.98439996055956,11326.2,821.16,1395.05,686.999533452661,0.101,10,5,0,0.622,6164.9333091771305,3,0.046,0.201,99.44011591083219,594.7499420445838
CUST_44,492-88-6134,18,36657.49,3054.790833333333,0,214,81.73904221759351,1466.1,287.2782121384964,3689.6,2395.02,12492.49,24.21916483029831,0.35,11,11,0,0.189,13706.244495831794,0,0.341,0.547,53.35962038401397,597.660189807993
CUST_45,957-51-8035,36,69578.09,5798.174166666667,100,63,86.00457076260585,970.91,191.51512179018837,3769.62,641.17,24153.65,508.77814280245286,0.464,7,8,10,0.402,14813.019610488751,0,0.354,2.213,-0.6477475511448616,752.3838737755725
CUST_46,560-60-1863,70,66881.3,5573.441666666667,2000,233,23.39209533824072,5016.0975,235.89648140417682,20000.0,8090.61,74217.3393156324,1028.6219092545523,0.548,2,7,2,1.790842066581207,0.0,4,0.5,1.511,500.0,730.117202697469
CUST_47,842-61-6116,36,30862.39,2571.8658333333333,2000,165,35.79951506591519,1078.42,234.44713185497312,2704.5,5468.12,14770.5,241.9909437457426,0.952,1,6,14,0.274,12714.71092461994,2,0.486,1.384,65.89461693973492,761.7326915301325
CUST_48,195-13-2757,34,46858.24,3904.853333333333,100,60,21.976539883221882,1308.33,182.79536359813403,16391.74,7349.6,18457.79,410.3078639234065,0.484,10,3,12,0.473,15601.353208252567,2,0.403,0.898,105.927533524094,652.8962332379531
CUST_49,584-32-7374,36,31831.42,2652.6183333333333,0,250,71.81958106029741,1774.66,205.865466746051,2497.31,2056.12,10924.99,263.3632510809206,0.807,9,4,12,1.185,13031.381632475925,5,0.351,0.995,-2.1231345628997533,670.2115672814499
CUST_50,848-24-4242,31,32361.11,2696.7591666666667,0,170,46.54244954561425,841.77,141.3654204920203,27615.62,5655.63,12205.76,298.7340832980582,0.106,3,6,8,0.464,5811.6538354671075,3,0.386,0.197,52.04012899749583,660.619935501252
CUST_51,640-45-7668,37,0.0,0.0,1000,138,75.25455388405108,1317.06,206.49428123321798,5.74,1986.87,0.0,593.1156309155775,0.505,9,10,5,1.014,9652.384002437928,2,0.5,0.1,50.694260047855224,581.9028699760723
CUST_52,259-80-4157,31,29720.16,2476.68,1000,94,21.656291644104456,1302.39,175.4757060307003,2656.18,6889.0,6770.88,983.9806255926702,0.607,7,5,1,1.004,10407.501031391112,2,0.261,0.733,124.65023995291669,648.5848800235416
CUST_53,895-75-3693,26,46577.05,3881.4208333333336,2000,78,36.21633017247473,405.22,304.5876718196325,5986.87,2457.27,20266.02,489.4735748244977,0.158,4,10,0,0.184,15065.840700633902,2,0.446,0.671,3.0682978647062544,645.1858510676468
CUST_54,895-37-4627,34,0.0,0.0,100,64,34.03450449393631,2201.93,164.9398949965161,15449.71,6427.74,0.0,857.820471897188,0.337,10,4,9,1.114,7400.317708391413,3,0.5,0.1,47.27451550142839,613.2127422492858
CUST_55,439-39-6450,34,22562.95,1880.2458333333334,1000,94,74.76852645421525,1283.78,225.66700069655678,11467.07,9234.16,9052.49,282.3379455961901,0.753,6,8,1,0.391,12834.292859650343,2,0.414,0.621,17.236497800307955,672.051751099846
CUST_56,739-98-8392,54,62141.04,5178.42,1000,89,64.01534652274826,1662.61,186.32288119562097,2189.13,8112.2,13906.19,832.5323346361885,0.268,7,11,0,0.787,16994.752960592243,2,0.237,0.55,21.06783905451775,620.1660804727411
CUST_57,484-36-7776,27,21753.94,1812.8283333333331,100,229,9.419569898577738,552.86,240.67123661602542,15339.94,1597.5,5046.57,998.8284090308144,0.172,2,4,7,0.509,3120.7078206124106,1,0.278,0.336,47.68276482042893,747.6786175897856
CUST_58,727-86-6864,33,46855.35,3904.6124999999997,500,119,40.67738967133398,1970.88,132.17179190861293,1647.83,8997.56,7630.39,865.5355501027651,0.334,6,5,1,0.586,1015.9026762542956,4,0.181,0.457,136.183842759363,601.6480786203185
CUST_59,358-79-6575,70,16932.7,1411.0583333333334,0,262,69.18863819418513,1269.9525,193.39902797336347,50000.0,3530.63,70454.60812631703,718.8911987575498,0.866,6,9,8,1.314860111004215,0.0,3,0.5,0.79,500.0,639.3347897612313
CUST_60,510-18-5413,31,58188.75,4849.0625,100,173,72.27054190084895,278.67,229.6201005733849,8258.68,6965.49,19658.29,689.5087158377719,0.775,8,10,8,0.546,9387.869483250319,4,0.35,3.452,-35.11607090658515,696.3480354532926
CUST_61,776-60-1663,40,43484.92,3623.7433333333333,2000,112,58.27283388821609,631.08,211.76415370279614,18335.75,3939.64,3495.18,272.40914389191704,0.788,2,6,9,0.705,17548.507656096022,0,0.087,2.438,36.9799237092946,848.9700381453526
CUST_62,926-41-2495,57,31646.52,2637.21,0,122,53.61459056284645,708.54,224.78771185399657,3626.7,5230.24,8951.49,57.464942231109475,0.362,5,1,5,0.14,25624.30479769776,5,0.285,0.697,37.00808900164502,685.0359554991776
CUST_63,332-61-6232,32,0.0,0.0,500,261,31.387198260505784,890.64,158.54002008783362,30774.53,6321.51,0.0,699.4716932495231,0.144,6,4,7,0.432,17039.07753196585,0,0.5,0.1,124.97207955448974,660.7139602227552
CUST_64,929-67-2291,40,32122.69,2676.8908333333334,0,161,71.40380923283494,684.07,182.67276063462822,8441.88,1923.83,12558.5,264.28507797759835,0.08,8,5,9,0.084,3230.449037306672,5,0.399,0.209,29.965170027407435,591.2974149862963
CUST_65,609-48-8554,18,63294.83,5274.569166666667,1000,260,26.061522692276533,1524.18,199.05709090228956,1741.1,4801.7,17256.93,287.9292512772808,0.347,11,2,0,0.748,19986.567544644855,0,0.277,0.862,24.573596899641952,714.603201550179
CUST_66,212-65-1698,31,81001.18,6750.098333333332,100,97,17.77306159895776,1271.61,238.9942263916585,15497.53,3697.34,17397.97,53.849580997730094,0.717,3,3,2,0.51,13473.085542482495,2,0.215,2.661,9.971564033718415,816.5842179831409
CUST_67,212-11-5737,51,45614.85,3801.2374999999997,2000,109,54.15331140624784,1404.51,269.8438242177765,3355.83,302.51,12063.56,327.6929022424484,0.435,3,11,10,0.721,13571.935110483326,4,0.272,0.973,104.94677426752988,611.536612866235
CUST_68,319-63-1854,34,47998.36,3999.8633333333332,500,129,41.13503741979503,1372.02,107.08296763228388,15304.26,3195.34,11773.22,825.9330408446202,0.552,11,1,12,0.259,3626.4072738092077,4,0.262,1.265,26.167997121441132,687.6160014392793
CUST_69,835-10-6249,40,36450.73,3037.5608333333334,0,213,64.4708752134674,1101.97,184.02286173051272,2862.54,9661.12,17043.96,786.8780238674873,0.315,10,6,9,0.558,7629.723075938624,4,0.489,0.458,109.35181955476358,549.3340902226182
CUST_70,152-53-6791,29,74585.67,6215.4725,0,158,59.69009408806463,576.24,167.0535536836839,7142.72,7668.13,11631.18,104.35631493125739,0.396,4,1,4,1.004,10628.543953933735,0,0.157,1.781,102.37459341112047,796.5327032944397
CUST_71,809-41-5931,38,45186.82,3765.568333333333,500,210,84.15539647631687,595.48,161.33342288261122,7595.77,6639.83,843.84,210.00189848542627,0.743,9,10,13,1.112,9815.554503538242,1,0.023,2.136,22.00284835191261,732.5685758240437
CUST_72,538-84-5218,51,67874.57,5656.214166666668,0,12,58.09097577652292,612.47,213.33209064933808,3610.99,4615.25,22466.37,0.0,0.755,11,11,14,0.515,11294.40293261948,3,0.331,3.528,1.0648806816739353,672.677559659163
CUST_73,500-47-3327,23,54964.18,4580.348333333333,100,77,71.1965671336761,763.21,201.62834253758942,7036.23,3735.58,16594.87,609.5647053001602,0.04,4,1,3,0.606,7753.749756391881,2,0.313,0.144,3.983926335817328,737.5880368320913
CUST_74,936-79-8125,57,52458.11,4371.509166666667,0,163,32.97284599290263,1877.37,143.9027809232081,8683.4,14668.74,23867.64,556.1838435614818,0.978,0,4,8,0.361,15990.699380473052,4,0.466,1.318,68.97910886873076,740.1704455656346
CUST_75,610-25-9800,20,29594.88,2466.2400000000002,1000,191,64.23187076049025,601.67,141.45251294202916,31531.22,1944.85,1738.35,581.814487035133,0.201,11,4,1,0.506,17440.704061403194,4,0.078,0.548,96.94281376184787,586.7385931190761
CUST_76,300-68-3511,30,85651.89,7137.6575,0,22,44.46803840805142,1791.27,223.09311117214799,27896.1,3557.88,22382.79,366.992871984763,0.912,7,5,7,0.605,4321.331942558068,2,0.266,2.817,88.25687450310892,735.2115627484455
CUST_77,448-12-1659,27,79318.67,6609.889166666667,2000,198,40.120387406909586,778.33,145.42231410180463,5048.52,4483.61,5979.48,697.1647598637451,0.536,7,1,6,0.578,5860.943313132725,0,0.084,2.731,44.771517456258074,832.6342412718709
CUST_78,863-68-7546,32,95483.91,7956.9925,500,29,31.949583219721145,657.93,165.26113123715734,3337.13,8734.9,21756.44,412.82229758737617,0.524,8,8,9,0.112,583.590248577952,1,0.232,2.688,-33.72419281311082,761.6220964065554
CUST_79,445-76-9338,27,28012.2,2334.35,0,292,80.84741944877767,1368.63,246.17068946402475,2950.51,4836.31,11196.05,787.2279928863819,0.478,2,1,3,0.451,0.0,2,0.428,0.553,11.778918024675816,772.2705409876621
CUST_80,247-80-2843,26,55280.61,4606.7175,100,19,49.862391997959435,1706.89,208.618611281535,4020.16,1660.92,23698.47,171.40360612692655,0.926,11,0,4,0.877,5261.591239598469,3,0.432,2.077,63.54818740807062,700.8659062959646
CUST_81,588-42-2959,23,34133.72,2844.476666666667,2000,197,34.2316873361181,550.28,277.3814419716684,1695.01,630.58,14231.38,760.9525254419596,0.168,11,3,0,0.506,14998.911677628983,0,0.439,0.543,-17.971734617300694,694.3458673086503
CUST_82,739-48-3385,41,58873.23,4906.1025,500,28,63.561600147253,1164.14,194.65089980693804,21856.35,1198.64,16113.75,629.8724600278346,0.631,5,1,20,0.428,6749.880176182576,2,0.284,2.122,36.05541539372831,817.5622923031359
CUST_83,971-10-2802,33,55844.46,4653.705,0,152,41.20092015557975,1674.84,311.64572486937385,36481.51,9648.69,17701.58,697.994403910022,0.352,10,6,1,0.839,13010.205148697496,2,0.329,0.587,83.18392406335113,606.8480379683245
CUST_84,572-59-6534,30,41720.27,3476.6891666666666,2000,112,34.03105548996701,1564.36,190.814108568485,21900.19,7591.5,11505.71,402.55392737415707,0.919,9,3,0,0.271,13280.099062400996,2,0.285,1.338,44.35002536980732,712.0349873150964
CUST_85,397-16-7287,38,45427.6,3785.633333333333,0,250,108.0434126960728,582.04,259.89011268198544,14656.62,8954.61,12747.8,1026.2406532363893,0.211,8,1,10,0.65,10074.779777865937,0,0.303,0.503,46.547095088961996,747.036452455519
CUST_86,445-69-3049,20,91815.36,7651.28,0,161,25.824550821927016,1118.03,158.00440803973905,4060.32,3054.55,40635.22,285.5437403684979,0.391,3,9,1,0.72,7980.1798185927555,1,0.446,1.955,107.4649991724642,672.3175004137679
CUST_87,996-57-5548,38,47293.76,3941.146666666667,500,281,87.30214318748308,556.38,167.49171305359923,7547.91,7863.54,4948.65,1184.314831216898,0.451,8,4,10,0.112,10877.17772156062,3,0.13,1.289,-20.217083414440395,735.4385417072201
CUST_88,136-41-8158,34,5948.47,495.7058333333334,0,197,33.79227519653334,1349.65,284.5875112737391,6424.79,1332.07,1304.99,634.0513707864353,0.678,5,8,7,0.286,2044.1499483628734,4,0.326,0.193,60.742805975232535,628.7885970123837
CUST_89,108-28-3255,34,39276.98,3273.081666666667,100,219,62.52007103437544,1266.21,165.2351331224315,5927.0,6495.52,11980.71,843.7201011039934,0.2,3,3,12,0.403,16326.750938883255,0,0.327,0.332,77.85974031653166,759.0101298417342
CUST_90,230-29-7295,40,28094.62,2341.2183333333332,500,186,47.96794034944725,1426.03,189.1320734864762,4280.53,9978.84,10751.14,936.475713002612,0.424,5,10,5,1.159,7334.935028093909,3,0.416,0.406,-6.0123728832197525,640.7261864416099
CUST_91,153-42-2648,51,31604.66,2633.721666666667,100,203,64.72827590113154,817.99,166.9274272116549,3109.24,975.1,12039.63,733.7624105492399,0.167,5,0,8,1.033,19086.638528441883,5,0.404,0.413,95.71911643556376,644.3504417822181
CUST_92,519-47-5199,38,64186.95,5348.912499999999,0,186,22.360382025736165,920.39,256.2190368589713,6997.06,3462.68,3762.91,1062.8354352302204,0.97,3,7,17,0.784,12501.562637213738,4,0.075,3.541,33.523964473854825,799.0580177630725
CUST_93,951-98-1098,33,67818.25,5651.520833333333,100,75,19.918688162528536,1595.4,139.53602173456122,299.52,1119.75,7524.77,784.1515255191943,0.253,9,7,0,0.446,16585.903268653285,2,0.123,0.782,71.10569395270937,630.4371530236454
CUST_94,252-27-5973,23,33139.05,2761.5875,100,11,65.33885882404401,1612.39,265.37492730267604,5701.19,1841.61,15103.42,720.1939265224969,0.499,4,9,4,0.678,10155.707086889235,2,0.477,0.678,69.87267996872224,643.8736600156388
CUST_95,437-75-3869,70,38986.31,3248.8591666666666,100,280,14.396521765319257,2923.97325,212.23603311854563,50000.0,4278.59,57539.4274240973,641.3008581728936,0.305,0,9,0,1.7905590675155965,0.0,0,0.5,0.406,500.0,714.3922497579312
CUST_96,262-89-1956,36,36036.82,3003.068333333333,1000,69,26.627426342859604,1768.43,209.32285212466354,8511.35,3678.08,48.88,615.0891492082175,0.118,8,4,12,1.239,20394.6946442245,4,0.018,0.155,33.180781108497925,664.6096094457511
CUST_97,780-42-6699,22,80362.08,6696.84,0,52,48.20559621799102,540.52,197.12304823600584,2757.94,4668.63,8028.05,835.9599053484499,0.033,10,7,3,0.352,6082.628605230042,2,0.11,0.196,111.77425101037566,584.6828744948122
CUST_98,900-23-5911,22,68415.98,5701.331666666666,500,102,24.116959750647908,5131.1984999999995,262.5392669531158,20000.0,4282.91,81502.33662617841,249.03135290830036,0.429,10,0,0,1.9001662370119325,0.0,1,0.5,1.059,500.0,730.5713327548027
CUST_99,603-17-2218,31,63538.81,5294.900833333333,500,235,26.66612921620007,1186.21,189.0382772798223,5073.82,7789.48,9840.53,454.64459483386344,0.634,6,1,3,0.277,4846.645039312661,2,0.162,1.658,100.47301123537021,744.4234943823149
CUST_100,500-42-5555,37,29358.85,2446.570833333333,500,295,41.7788279048335,1490.99,164.45049193051625,424.87,9943.04,9008.98,652.8575431098037,0.549,4,3,14,0.313,5504.156190734288,3,0.329,0.541,23.908078130914763,741.4159609345427
CUST_101,982-95-4446,42,15814.81,1317.9008333333334,100,72,6.309461248237955,1064.76,226.02179140148,7351.3,7723.29,5745.92,282.41822927751434,0.113,4,2,17,1.184,10650.36413972635,2,0.381,0.1,79.09335607728087,714.0033219613596
CUST_102,121-39-4436,46,74609.55,6217.462500000001,0,289,21.982100816464524,834.01,195.7289012131435,6913.2,3972.13,24120.63,789.6827960765393,0.4,5,2,13,0.454,7111.782627098281,2,0.334,1.828,39.041158062537754,769.6394209687311
CUST_103,662-63-6895,44,88378.33,7364.860833333333,0,23,76.80266744279218,1086.12,298.040534601593,3578.46,2038.33,16684.33,436.7172732929056,0.391,10,11,16,0.468,12230.074133945758,4,0.194,1.853,75.77908482178182,591.320457589109
CUST_104,382-36-1225,44,14868.61,1239.0508333333335,500,37,69.1382314188193,1225.83,245.59149851163386,1919.77,6819.44,3199.84,116.76926487024811,0.72,7,8,17,0.225,13487.11727963465,2,0.223,0.437,97.76925934228157,667.5553703288592
CUST_105,376-39-8022,20,94829.74,7902.4783333333335,0,151,95.30297072523352,1316.05,217.34233015914262,5493.05,637.28,39732.96,318.5337656908706,0.239,10,8,2,0.181,2445.679333986411,1,0.422,1.19,68.34399642589251,613.3780017870537
CUST_106,580-78-8996,34,47879.76,3989.98,0,117,61.894777411862165,1589.45,271.70707172096445,3975.01,9527.57,15867.0,788.3967403022322,0.594,2,7,12,0.821,14427.505456217083,2,0.348,0.893,25.165940007188574,744.1770299964058
CUST_107,915-28-8683,41,53363.49,4446.9574999999995,100,299,76.03233727584973,784.91,127.45696211989602,29683.03,5582.06,625.29,187.30115306312092,0.322,7,10,15,0.194,1196.634167156063,2,0.015,1.039,74.94927614855166,667.9053619257242
CUST_108,646-73-8679,35,23642.28,1970.1899999999998,1000,87,41.569347719500634,750.1,228.05320981159096,8918.01,9401.37,2405.1,211.58334305632513,0.74,2,6,14,0.247,11051.826762409277,2,0.111,0.828,68.1739179483304,766.3730410258347
CUST_109,116-53-3205,33,14504.83,1208.7358333333334,0,256,46.25763218722666,548.11,205.10340008963286,27016.14,7201.82,2076.35,655.7278271960005,0.094,9,7,10,0.553,9632.54040118397,1,0.188,0.1,40.90141886938446,657.4492905653078
